symbol,strategy,side,entry_time,entry_price,stop_loss,profit_target,position_size,confidence,spread_pct,volume,volume_ratio,exit_time,exit_price,realized_pnl,realized_pct,r_multiple,hold_time_s,mae_pct,mfe_pct,mae_r,mfe_r,exit_reason,adaptive_stop_pct,atr_pct_entry,r_multiple_peak
IONQ,vwap_bounce,SELL,2025-08-11T14:43:06.030326,44.5300,44.8000,44.1200,9,0.8333,0.0898,1000000,,2025-08-11T14:43:08.174914,45.7750,-11.2050,-2.7959,-4.6111,2.14,-2.7959,0.0000,-4.6111,0.0000,Catastrophic loss 2.796% >= 0.821% (planned 0.684%),0.6840899625156177,0.5262,0.0
PG,momentum_scalp,SELL,2025-08-11T14:43:00.792047,154.1400,154.2600,153.9600,4,0.6667,0.0259,1000000,,2025-08-11T14:43:16.432928,154.1350,0.0200,0.0032,0.0417,15.64,-0.0162,0.2044,-0.2083,2.6250,close,0.2,0.0526,0.0
JNJ,momentum_scalp,SELL,2025-08-11T14:43:18.523495,173.4300,173.6400,173.1200,3,0.6667,0.0576,1000000,,2025-08-11T14:43:49.390480,180.9700,-22.6200,-4.3476,-35.9048,30.87,-0.0288,0.0000,-0.2381,0.0000,close,0.2,0.0603,0.0
QBTS,momentum_scalp,SELL,2025-08-11T14:43:02.534579,17.4700,17.5500,17.3500,10,0.6667,0.1145,1000000,,2025-08-11T14:43:51.344863,17.3950,0.7500,0.4293,0.9375,48.81,0.0000,0.4293,0.0000,0.9375,Profit target hit: $17.39 <= $17.41,0.5956471935853385,0.4582,0.5285434371009611
RGTI,momentum_scalp,SELL,2025-08-11T14:42:56.308348,15.5300,15.5800,15.4500,10,0.8333,0.0644,1000000,,2025-08-11T14:44:10.489578,15.5050,0.2500,0.1610,0.5000,74.18,-0.0322,0.2898,-0.1000,0.9000,close,0.3589837997054469,0.2761,0.8071722224974035
IONQ,momentum_scalp,BUY,2025-08-11T15:08:49.002051,44.2760,44.0400,44.6300,10,0.6667,0.0904,1000000,,2025-08-11T15:08:54.493022,44.2550,-0.2100,-0.0474,-0.0890,5.49,-0.0474,0.0000,-0.0890,0.0000,Profit target hit: $44.26 >= $44.19,0.485782374683877,0.3737,0.0
JNJ,vwap_bounce,BUY,2025-08-11T15:08:54.337058,173.2200,173.0300,173.5000,4,0.6667,0.0173,1000000,,2025-08-11T15:09:09.347748,180.8550,30.5400,4.4077,40.1842,15.01,-0.0115,4.4077,-0.1053,40.1842,Profit target hit: $180.86 >= $173.79,0.2,0.0408,0.0
PG,momentum_scalp,BUY,2025-08-11T15:09:08.870571,153.9800,153.8700,154.1400,5,0.6667,0.0260,1000000,,2025-08-11T15:09:26.007015,153.7200,-1.3000,-0.1689,-2.3636,17.14,-0.0390,0.0000,-0.5455,0.0000,close,0.2,0.0464,0.0
IONQ,mean_reversion,SELL,2025-08-11T15:09:03.879401,44.3000,44.5300,43.9500,10,0.7000,0.0677,1000000,,2025-08-11T15:09:37.893902,44.3850,-0.8500,-0.1919,-0.3696,34.01,-0.3047,0.2144,-0.5870,0.4130,close,0.5127853512946726,0.3945,0.4182002314506486
PG,momentum_scalp,BUY,2025-08-11T15:09:31.814295,153.9800,153.8700,154.1400,5,0.6667,0.0200,1000000,,2025-08-11T15:09:42.597831,156.9750,14.9750,1.9451,27.2273,10.78,-0.0097,1.9451,-0.1364,27.2273,Profit target hit: $156.97 >= $154.39,0.2,0.0464,0.0
